Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
14704640, 13382044, 4935993, 41218270, 17587165, 42395595, 17587165
14750720, 13427964, 4951445, 41276935, 17587165, 42399070, 17587165
14796800, 13472880, 4966897, 41286352, 17587165, 42407814, 17587165
14842880, 13519135, 4982350, 41295438, 17587165, 42416844, 17587165
14888960, 13563046, 4997802, 41324124, 17587165, 42514598, 17587165
14935040, 13606637, 5013269, 41349945, 17587165, 42524207, 17587165
14981120, 13649877, 5028721, 41357979, 17587165, 42533342, 17587165
15027200, 13693118, 5044174, 41366871, 17587165, 42542108, 17587165
15073280, 13736358, 5059626, 41375610, 17587165, 42550716, 17587165
15119360, 13782279, 5075078, 41373804, 17587165, 42599647, 17587165
15165440, 13828535, 5090530, 41378169, 17587165, 42625466, 17587165
15211520, 13874790, 5105982, 41455815, 17587165, 42628289, 17587165
15257600, 13919371, 5121434, 41464733, 17587165, 42636698, 17587165
15303680, 13963281, 5136887, 41498173, 17587165, 42643848, 17587165
15349760, 14006857, 5152339, 41506329, 17587165, 42652491, 17587165
15395840, 14050768, 5167791, 41514348, 17587165, 42661002, 17587165
15441920, 14099033, 5183243, 41522555, 17587165, 42668479, 17587165
15488000, 14144284, 5198695, 41530409, 17587165, 42676822, 17587165
15534080, 14191224, 5214163, 41594359, 17587165, 42680775, 17587165
15580160, 14234800, 5229615, 41601900, 17587165, 42689426, 17587165
15626240, 14278711, 5245067, 41588315, 17587165, 42777532, 17587165
15672320, 14322956, 5260519, 41596579, 17587165, 42785656, 17587165
15718400, 14367872, 5275971, 41604732, 17587165, 42793744, 17587165
15764480, 14415802, 5291424, 41603413, 17587165, 42836057, 17587165
15810560, 14462058, 5306876, 41611818, 17587165, 42843784, 17587165
15856640, 14506639, 5322328, 41614418, 17587165, 42884163, 17587165
15902720, 14550214, 5337780, 41621561, 17587165, 42892293, 17587165
15948800, 14594125, 5353232, 41629491, 17587165, 42900158, 17587165
15994880, 14638035, 5368684, 41637555, 17587165, 42908157, 17587165
16040960, 14684626, 5384136, 41636376, 17587165, 42958216, 17587165
16087040, 14731567, 5399604, 41643681, 17587165, 42966031, 17587165
16133120, 14777487, 5415056, 41787152, 17587165, 42961763, 17587165
16179200, 14820728, 5430508, 41788601, 17587165, 42999108, 17587165
16225280, 14864303, 5445960, 41795588, 17587165, 43007266, 17587165
16271360, 14907879, 5461413, 41802838, 17587165, 43015682, 17587165
16317440, 14952460, 5476865, 41810553, 17587165, 43023337, 17587165
16363520, 14999720, 5492317, 41811353, 17587165, 43067331, 17587165
16409600, 15044636, 5507769, 41886943, 17587165, 43069447, 17587165
16455680, 15089886, 5523221, 41909631, 17587165, 43077094, 17587165
16501760, 15132792, 5538673, 41916448, 17587165, 43085038, 17587165
16547840, 15176033, 5554126, 41923675, 17587165, 43092775, 17587165
16593920, 15219273, 5569578, 41961827, 17587165, 43098056, 17587165
16640000, 15263854, 5585030, 41969888, 17587165, 43104901, 17587165
16686080, 15311464, 5600497, 41976951, 17587165, 43111834, 17587165
16732160, 15356045, 5615950, 41984749, 17587165, 43118954, 17587165
16778240, 15399956, 5631402, 41992084, 17587165, 43126842, 17587165
16824320, 15443196, 5646854, 41998859, 17587165, 43134788, 17587165
16870400, 15486437, 5662306, 42006862, 17587165, 43142113, 17587165
16916480, 15530347, 5677758, 42014359, 17587165, 43149550, 17587165
16962560, 15577273, 5693210, 41997626, 17587165, 43272753, 17587165
17008640, 15621854, 5708663, 42004928, 17587165, 43280011, 17587165
17054720, 15666434, 5724115, 42012842, 17587165, 43287255, 17587165
17100800, 15709675, 5739567, 42019381, 17587165, 43295604, 17587165
17146880, 15753250, 5755019, 42171193, 17587165, 43292558, 17587165
17192960, 15796491, 5770471, 42179018, 17587165, 43299717, 17587165
17239040, 15841422, 5785939, 42186320, 17587165, 43306971, 17587165
17285120, 15888347, 5801391, 42193197, 17587165, 43313804, 17587165
17331200, 15932928, 5816843, 42244663, 17587165, 43389426, 17587165
17377280, 15977173, 5832295, 42251820, 17587165, 43396535, 17587165
17423360, 16020414, 5847747, 42252646, 17587165, 43433997, 17587165
17469440, 16063320, 5863200, 42299165, 17587165, 43451258, 17587165
17515520, 16105555, 5878652, 42306352, 17587165, 43458417, 17587165
17561600, 16151141, 5894104, 42344681, 17587165, 43463744, 17587165
17607680, 16195721, 5909556, 42351193, 17587165, 43470355, 17587165
17653760, 16239967, 5925008, 42357736, 17587165, 43477317, 17587165
17699840, 16282538, 5940460, 42364072, 17587165, 43484865, 17587165
17745920, 16325108, 5955912, 42370006, 17587165, 43492613, 17587165
17792000, 16367679, 5971365, 42377049, 17587165, 43499612, 17587165
17838080, 16410599, 5986832, 42384409, 17587165, 43506449, 17587165
17884160, 16452165, 6002284, 42390976, 17587165, 43514053, 17587165
17930240, 16494401, 6017736, 42398238, 17587165, 43521283, 17587165
17976320, 16537306, 6033189, 42404783, 17587165, 43528593, 17587165
18022400, 16579207, 6048641, 42411669, 17587165, 43535862, 17587165
18068480, 16621777, 6064093, 42418880, 17587165, 43543029, 17587165
18114560, 16663343, 6079545, 42400684, 17587165, 43676436, 17587165
18160640, 16704909, 6094997, 42405763, 17587165, 43698162, 17587165
18206720, 16745804, 6110449, 42412956, 17587165, 43705256, 17587165
